图片名称,内容
1749313447.jpg,5)B 6) B 7) A 8) A 9) B 10)B 1-6 Further listening News report
1749313447.jpg,1.D
1749313447.jpg,2. D
1749313447.jpg,3. A Conversation
1749313447.jpg,1.B
1749313447.jpg,2. C
1749313447.jpg,3. D Passage
1749313447.jpg,1.B
1749313447.jpg,2.C
1749313447.jpg,3.D 1-7 iEnhance Listening practice
1749313447.jpg,1.B
1749313447.jpg,2. A
1749313447.jpg,3.C 1-8 Unit test News report
1749313447.jpg,1.A
1749313447.jpg,2. D
1749313447.jpg,3.D Conversation
1749313447.jpg,1. C
1749313447.jpg,2. D
1749313447.jpg,3.B Passage
1749313447.jpg,1.D
1749313447.jpg,2. C 师公众号·满分学习
1749313533.jpg,Unit 2 The magic of words 2-2 iExplore l: Listening and speaking Conversation Conversation-l
1749313533.jpg,1. B
1749313533.jpg,"2. D Passage Passage-l 1) B,C 2）A,D Passage-2 l. making it big"
1749313533.jpg,2. got serious with
1749313533.jpg,3. lose confidence News report 1
1749313533.jpg,1. A
1749313533.jpg,2. D
1749313533.jpg,3. C News report 2
1749313533.jpg,1. C
1749313533.jpg,2. A
1749313533.jpg,3. D 2-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 l. polite
1749313533.jpg,2. influencing
1749313533.jpg,3. 1400
1749313533.jpg,4. native tongue
1749313533.jpg,5. healthy
1749313533.jpg,6. change Viewing and understanding-2 1) B 2）A 3） A 4) B 5)B 6） A 2-4 iPractice: Pronunciation Practice Passage-1 1） A 2）A 3) A 4） A 5) B 公众号·满分学习
1749313534.jpg,6) A 7)B 8) B 9) B 10)A 2-6 Further listening News report
1749313534.jpg,1. B
1749313534.jpg,2. A
1749313534.jpg,3. A Conversation
1749313534.jpg,1. A
1749313534.jpg,2. A
1749313534.jpg,3. B Passage
1749313534.jpg,1. D
1749313534.jpg,2. B
1749313534.jpg,3. C 2-7 iEnhance Listening practice
1749313534.jpg,1. C
1749313534.jpg,2. A
1749313534.jpg,3. C 2-8 Unit test News report
1749313534.jpg,1. A
1749313534.jpg,2. C
1749313534.jpg,3. C Conversation
1749313534.jpg,1. D
1749313534.jpg,2. C
1749313534.jpg,3. D Passage
1749313534.jpg,1. A
1749313534.jpg,2. D
1749313534.jpg,3. A 公众号·满分学习
1749313594.jpg,12) worst 3-4 iPractice: Pronunciation Practice Practice-l 1) B 2)B 3) A 4) B 5）B 6) A 7)B 8) A 9) B 10)A 11)A 12) A 13）A 14) A 15）A 16) A 3-6 Further listening News report
1749313594.jpg,1. A
1749313594.jpg,2. C
1749313594.jpg,3. C Conversation
1749313594.jpg,1. D
1749313594.jpg,2. D
1749313594.jpg,3. A Passage
1749313594.jpg,1. D
1749313594.jpg,2. C
1749313594.jpg,3. A 3-7 iEnhance Listening practice
1749313594.jpg,1. A
1749313594.jpg,2. D 3-8 Unit test News report
1749313594.jpg,1. D
1749313594.jpg,2. D
1749313594.jpg,3. C Conversation
1749313594.jpg,1. D
1749313594.jpg,2. C 公众号·满分学习
1749313595.jpg,3. B Passage
1749313595.jpg,1. C
1749313595.jpg,2. D
1749313595.jpg,3. D 公众号·满分学习
1749313736.jpg,Unit 4 Life at fingertips 4-2 iExplore l: Listening and speaking Conversation Conversation-2
1749313736.jpg,1. D
1749313736.jpg,2. D
1749313736.jpg,3. B Passage Passage-l 1) perfect 2) boring 3) office 4) only job 5) beautiful 6) French wines News report 1
1749313736.jpg,1. A
1749313736.jpg,2. D News report 2
1749313736.jpg,1. C
1749313736.jpg,2. A
1749313736.jpg,3. D 4-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 1） bored 2) consider 3) lazy 4) success 5) social 6) connected 7) promise 8) accept 9) leaders 10) creating Viewing and understanding-2 1) contact 2) pull out 3) refuse 4) make sure 5) empty 6) servants 7) cut 8))watch 9) texting to 10) own lives 4-4 iPractice: Pronunciation 公众号·满分学习
1749313737.jpg,Practice Practice-l
1749313737.jpg,1. A
1749313737.jpg,2. B
1749313737.jpg,3. B
1749313737.jpg,4. A
1749313737.jpg,5. B
1749313737.jpg,6. A
1749313737.jpg,7. A 4-6 Further listening News report
1749313737.jpg,1. C
1749313737.jpg,2. B
1749313737.jpg,3. A Conversation
1749313737.jpg,1. B
1749313737.jpg,2. C
1749313737.jpg,3. A Passage
1749313737.jpg,1. B
1749313737.jpg,2. B
1749313737.jpg,3. C 4-7 iEnhance Listening practice
1749313737.jpg,1. D
1749313737.jpg,2. D
1749313737.jpg,3. D 4-8 Unit test News report
1749313737.jpg,1. B
1749313737.jpg,2. D
1749313737.jpg,3. D Conversation
1749313737.jpg,1. D
1749313737.jpg,2. C
1749313737.jpg,3. A Passage
1749313737.jpg,1. D
1749313737.jpg,2. D
1749313737.jpg,3. C 公众号·满分学习
1749313954.jpg,Unit 5 The art of light and shadow 5-2 iExplore l: Listening and speaking Passage Passage-l
1749313954.jpg,"1. D Passage-2 1） 19th, nineteenth 2) 1888,eighteen eighty-eight 3) motion pictures 4) a camera 5)record 6) 1891,eighteen ninety-one,eighteen thousand and ninety one 7) view 8) images Conversation Conversation-1"
1749313954.jpg,1. B
1749313954.jpg,2. D
1749313954.jpg,3. B Conversation-2 l) who has done it 2) from the future 3) next movie News report l
1749313954.jpg,1. D
1749313954.jpg,2. D
1749313954.jpg,3. D News report 2
1749313954.jpg,1. D
1749313954.jpg,2. A
1749313954.jpg,3. D 5-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 1) defined 2) created 3) computer 4) move 5) physical 6) same 7) Clothes 8) stage Viewing and understanding-2
1749313954.jpg,1. D
1749313954.jpg,2. s
1749313954.jpg,3. C
1749313954.jpg,4. A 公众号·满分学习
1749313955.jpg,5. F
1749313955.jpg,6. B
1749313955.jpg,7. E 5-4 iPractice: Pronunciation Practice Practice-l 1) C 2) C 3） B 4） A 5）C 6) B 7)B 8) B 9）A 10) C 11）A 12)C 5-6 Further listening News report
1749313955.jpg,1. B
1749313955.jpg,2. B
1749313955.jpg,3. C Conversation
1749313955.jpg,1. D
1749313955.jpg,2. C
1749313955.jpg,3. D Passage
1749313955.jpg,1. C
1749313955.jpg,2. D
1749313955.jpg,3. D 5-7 iEnhance Listening practice
1749313955.jpg,1. D
1749313955.jpg,2. C 5-8 Unit test News report
1749313955.jpg,1. C
1749313955.jpg,2. A
1749313955.jpg,3. C Conversation
1749313955.jpg,1. B
1749313955.jpg,2. A
1749313955.jpg,3. D 公众号·满分学习
1749313956.jpg,Passage
1749313956.jpg,1. D
1749313956.jpg,2. D
1749313956.jpg,3. C 师公众号·满分学习
1749314122.jpg,Unit 1 A new journey in life 1-2 iExplore 1: Listening and speaking Conversation Conversation-1
1749314122.jpg,1.B
1749314122.jpg,2.D Conversation-2 1) apply 2) research 3) analysis 4) time management 5) satisfied Passage Passage-l
1749314122.jpg,1.A
1749314122.jpg,2. B
1749314122.jpg,3. A News report 1
1749314122.jpg,1. D
1749314122.jpg,2. C
1749314122.jpg,3.D News report 2
1749314122.jpg,1.B
1749314122.jpg,2. B
1749314122.jpg,"3.D 1-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-l 1) A,B,D,F,G 2) C,E,F,G 1-4 iPractice: Pronunciation Practice Practice-1 1) A 2) A 3) A 4) B 师公众号·满分学习"
1749314123.jpg,5)B 6) B 7) A 8) A 9) B 10)B 1-6 Further listening News report
1749314123.jpg,1.D
1749314123.jpg,2. D
1749314123.jpg,3. A Conversation
1749314123.jpg,1.B
1749314123.jpg,2. C
1749314123.jpg,3. D Passage
1749314123.jpg,1.B
1749314123.jpg,2.C
1749314123.jpg,3.D 1-7 iEnhance Listening practice
1749314123.jpg,1.B
1749314123.jpg,2. A
1749314123.jpg,3.C 1-8 Unit test News report
1749314123.jpg,1.A
1749314123.jpg,2. D
1749314123.jpg,3.D Conversation
1749314123.jpg,1. C
1749314123.jpg,2. D
1749314123.jpg,3.B Passage
1749314123.jpg,1.D
1749314123.jpg,2. C 师公众号·满分学习
1749314269.jpg,Unit 5 The art of light and shadow 5-2 iExplore l: Listening and speaking Passage Passage-l
1749314269.jpg,"1. D Passage-2 1） 19th, nineteenth 2) 1888,eighteen eighty-eight 3) motion pictures 4) a camera 5)record 6) 1891,eighteen ninety-one,eighteen thousand and ninety one 7) view 8) images Conversation Conversation-1"
1749314269.jpg,1. B
1749314269.jpg,2. D
1749314269.jpg,3. B Conversation-2 l) who has done it 2) from the future 3) next movie News report l
1749314269.jpg,1. D
1749314269.jpg,2. D
1749314269.jpg,3. D News report 2
1749314269.jpg,1. D
1749314269.jpg,2. A
1749314269.jpg,3. D 5-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 1) defined 2) created 3) computer 4) move 5) physical 6) same 7) Clothes 8) stage Viewing and understanding-2
1749314269.jpg,1. D
1749314269.jpg,2. s
1749314269.jpg,3. C
1749314269.jpg,4. A 公众号·满分学习
1749314270.jpg,5. F
1749314270.jpg,6. B
1749314270.jpg,7. E 5-4 iPractice: Pronunciation Practice Practice-l 1) C 2) C 3） B 4） A 5）C 6) B 7)B 8) B 9）A 10) C 11）A 12)C 5-6 Further listening News report
1749314270.jpg,1. B
1749314270.jpg,2. B
1749314270.jpg,3. C Conversation
1749314270.jpg,1. D
1749314270.jpg,2. C
1749314270.jpg,3. D Passage
1749314270.jpg,1. C
1749314270.jpg,2. D
1749314270.jpg,3. D 5-7 iEnhance Listening practice
1749314270.jpg,1. D
1749314270.jpg,2. C 5-8 Unit test News report
1749314270.jpg,1. C
1749314270.jpg,2. A
1749314270.jpg,3. C Conversation
1749314270.jpg,1. B
1749314270.jpg,2. A
1749314270.jpg,3. D 公众号·满分学习
1749314271.jpg,Passage
1749314271.jpg,1. D
1749314271.jpg,2. D
1749314271.jpg,3. C 师公众号·满分学习
1749314326 (1).jpg,Unit 6 Pursue your dream 6-2 iExplore l: Listening and speaking Conversation Conversation-2 1)dreams 2) communicating with 3) memories 4) as long as 5) come true 6) advice Passage Passage-l
1749314326 (1).jpg,1. C
1749314326 (1).jpg,2. B Passage-2
1749314326 (1).jpg,1. C
1749314326 (1).jpg,2. A
1749314326 (1).jpg,3. B News report 1
1749314326 (1).jpg,1. D
1749314326 (1).jpg,2. D News report 2
1749314326 (1).jpg,1. D
1749314326 (1).jpg,2. C
1749314326 (1).jpg,"3. B 6-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-l 1) 17, seventeen 2) the greatest 3) the best possible 4) moves and touches 5) the kid 6) looking out 6-6 Further listening News report"
1749314326 (1).jpg,1. C
1749314326 (1).jpg,2. D Conversation
1749314326 (1).jpg,1. D
1749314326 (1).jpg,2. B
1749314326 (1).jpg,3. C Passage
1749314326 (1).jpg,1. B
1749314326 (1).jpg,2. D 公众号·满分学习
1749314326.jpg,Unit 6 Pursue your dream 6-2 iExplore l: Listening and speaking Conversation Conversation-2 1)dreams 2) communicating with 3) memories 4) as long as 5) come true 6) advice Passage Passage-l
1749314326.jpg,1. C
1749314326.jpg,2. B Passage-2
1749314326.jpg,1. C
1749314326.jpg,2. A
1749314326.jpg,3. B News report 1
1749314326.jpg,1. D
1749314326.jpg,2. D News report 2
1749314326.jpg,1. D
1749314326.jpg,2. C
1749314326.jpg,"3. B 6-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-l 1) 17, seventeen 2) the greatest 3) the best possible 4) moves and touches 5) the kid 6) looking out 6-6 Further listening News report"
1749314326.jpg,1. C
1749314326.jpg,2. D Conversation
1749314326.jpg,1. D
1749314326.jpg,2. B
1749314326.jpg,3. C Passage
1749314326.jpg,1. B
1749314326.jpg,2. D 公众号·满分学习
1749314327 (1).jpg,3. C 6-7 iEnhance Listening practice
1749314327 (1).jpg,1. C
1749314327 (1).jpg,2. D
1749314327 (1).jpg,3. C 6-8 Unit test News report
1749314327 (1).jpg,1. C
1749314327 (1).jpg,2. D
1749314327 (1).jpg,3. C Conversation
1749314327 (1).jpg,1. C
1749314327 (1).jpg,2. B
1749314327 (1).jpg,3. C Passage
1749314327 (1).jpg,1. B
1749314327 (1).jpg,2. D
1749314327 (1).jpg,3. B 公众号·满分学习
1749314327.jpg,3. C 6-7 iEnhance Listening practice
1749314327.jpg,1. C
1749314327.jpg,2. D
1749314327.jpg,3. C 6-8 Unit test News report
1749314327.jpg,1. C
1749314327.jpg,2. D
1749314327.jpg,3. C Conversation
1749314327.jpg,1. C
1749314327.jpg,2. B
1749314327.jpg,3. C Passage
1749314327.jpg,1. B
1749314327.jpg,2. D
1749314327.jpg,3. B 公众号·满分学习
1749314391.jpg,"Unit 7 Tech, a blessing or a curse? 7-2 iExplore l: Listening and speaking Passage Passage-l"
1749314391.jpg,1. D
1749314391.jpg,2. D Passage-2 l. beyond the limitations
1749314391.jpg,2. the impossible
1749314391.jpg,3. make it a reality
1749314391.jpg,"4. good evidence Conversation Conversation-1 1) our existence 2) prepare for 3) an understanding of 4) controlled 5) self-aware, selfaware, self aware creations 7) depends on 8) the next century Conversation-2"
1749314391.jpg,"1. I don't see,I do not see"
1749314391.jpg,"2. I don't see any reason to think,I do not see any reason to think"
1749314391.jpg,3. Hard to say
1749314391.jpg,"4. That's not likely to happen, That is not likely to happen News report 1"
1749314391.jpg,1. C
1749314391.jpg,2. A
1749314391.jpg,3. A News report 2
1749314391.jpg,1. A
1749314391.jpg,2. A
1749314391.jpg,"3. C 7-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 1) computer science 2) human behavior, human behaviour 3) solves problems 4) teaches 5) nothing 6) everything 7-6 Further listening News report"
1749314391.jpg,1. A 公众号·满分学习
1749314392.jpg,2. B
1749314392.jpg,3. B Conversation
1749314392.jpg,1. A
1749314392.jpg,2. C
1749314392.jpg,3. A Passage
1749314392.jpg,1. D
1749314392.jpg,2. C
1749314392.jpg,3. B 7-7 iEnhance Listening practice
1749314392.jpg,1. D
1749314392.jpg,2. C 7-8 Unit test News report
1749314392.jpg,1. D
1749314392.jpg,2. C
1749314392.jpg,3. B Conversation
1749314392.jpg,1. A
1749314392.jpg,2. C
1749314392.jpg,3. C Passage
1749314392.jpg,1. D
1749314392.jpg,2. A
1749314392.jpg,3. D 公众号·满分学习
1749314474.jpg,Unit 8 For a better planet 8-2 iExplore l: Listening and speaking Conversation Conversation-2 1) so much better 2) reduced 3)manage 4) working 5) real action 6) cleaner Passage Passage-l
1749314474.jpg,1. C
1749314474.jpg,2. A
1749314474.jpg,3. C Passage-2 1) living space 2) harmful 3) awareness 4) do wonders News report 1
1749314474.jpg,1. C
1749314474.jpg,2. C
1749314474.jpg,3. A News report 2
1749314474.jpg,1. B
1749314474.jpg,2. D
1749314474.jpg,3. D 8-3 iExplore 2: Viewing and speaking Viewing and understanding Viewing and understanding-1 1) mixed together 2) all by itself 3) takes up 4) stands for 5) loaded onto 6) separate 7) be made into 8) cut into pieces 9) being sorted Viewing and understanding-2
1749314474.jpg,1. A
1749314474.jpg,2. D
1749314474.jpg,3. B
1749314474.jpg,4. E
1749314474.jpg,5. C
1749314474.jpg,6. F 公众号·满分学习
1749314475.jpg,"8-4 iPractice: Pronunciation Practice Practice-1 l. can't,cannot"
1749314475.jpg,2. can
1749314475.jpg,3. can
1749314475.jpg,4. can 8-6 Further listening News report
1749314475.jpg,1. D
1749314475.jpg,2. D
1749314475.jpg,3. D Conversation
1749314475.jpg,1. B
1749314475.jpg,2. C
1749314475.jpg,3. D Passage
1749314475.jpg,1. B
1749314475.jpg,2. C
1749314475.jpg,3. C 8-7 iEnhance Listening practice
1749314475.jpg,1. C
1749314475.jpg,2. C
1749314475.jpg,3. B 8-8 Unit test News report
1749314475.jpg,1. D
1749314475.jpg,2. D
1749314475.jpg,3. D Conversation
1749314475.jpg,1. D
1749314475.jpg,2. C
1749314475.jpg,3. C Passage
1749314475.jpg,1. B
1749314475.jpg,2. B
1749314475.jpg,3. B 公众号·满分学习
